Number,Song,Singer,fileName,Hint1,Hint2
1,고백,다이나믹듀오,goback.mp3,GoBack,최자와 개코
2,멀어,프라이머리,too_distant.mp3,Too Distant,Primary
3,빈차,에픽하이,home_is_far_away.mp3,Home is Far Away,오혁
4,자니,프라이머리,johnny.mp3,Johnny,Primary
5,밤편지,아이유,night_letter.mp3,Night Letter,반딧불
6,우산,에픽하이,umbrella.mp3,umbrella,윤하
7,첫사랑,버스커버스커,first_love.mp3,First Love,슈퍼스타 K
8,응급실,이지,izi.mp3,izi,쾌걸춘향 OST
9,어른,손디아,adult,나의 아저씨 OST,Sondia
10,기억을 걷는 시간,넬,time_to_remember,태연,넬
11,도망가자,선우정아,run_with_me,Run With Me,리메이크 곡
12,주저하는 연인들을 위해,잔나비,for_lovers_who_hesitate,밴드,잔나비
13,광화문에서,규현,at_gwanghwamun,광화문,규현
14,뜨거운 여름밤은 지나가고 남은 건 볼품없지만,잔나비,summer,띄어쓰기 주의,뜨거운 여름밤은 ____ __ _ _____
15,스물하나 스물다섯,자우림,2125,자우림,21 25
